"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","HUR","MEN","PC_LF","A","2019",3.416667,
"IRL","HUR","MEN","PC_LF","A","2019",5.216667,
"POL","HUR","MEN","PC_LF","A","2019",3.025,
"KOR","HUR","MEN","PC_LF","A","2019",3.891667,
"BEL","HUR","MEN","PC_LF","A","2019",5.75,
"GBR","HUR","MEN","PC_LF","A","2019",4.007436,
"DNK","HUR","MEN","PC_LF","A","2019",4.816667,
"CZE","HUR","MEN","PC_LF","A","2019",1.716667,
"SVN","HUR","MEN","PC_LF","A","2019",4.025,
"USA","HUR","MEN","PC_LF","A","2019",3.725,
"ITA","HUR","MEN","PC_LF","A","2019",9.166667,"P"
"AUS","HUR","MEN","PC_LF","A","2019",5.206714,
"CHE","HUR","MEN","PC_LF","A","2019",4.115638,
"SVK","HUR","MEN","PC_LF","A","2019",5.6,
"NOR","HUR","MEN","PC_LF","A","2019",3.966667,
"ISR","HUR","MEN","PC_LF","A","2019",3.691667,
"EA19","HUR","MEN","PC_LF","A","2019",7.25,
"HUN","HUR","MEN","PC_LF","A","2019",3.35,
"FRA","HUR","MEN","PC_LF","A","2019",8.483334,
"COL","HUR","MEN","PC_LF","A","2019",8.193334,
"GRC","HUR","MEN","PC_LF","A","2019",14.00833,
"OECD","HUR","MEN","PC_LF","A","2019",5.269979,"E"
"LTU","HUR","MEN","PC_LF","A","2019",7.058333,
"CAN","HUR","MEN","PC_LF","A","2019",6.116667,
"SWE","HUR","MEN","PC_LF","A","2019",6.65,
"EST","HUR","MEN","PC_LF","A","2019",4.208333,
"PRT","HUR","MEN","PC_LF","A","2019",6.033333,"P"
"FIN","HUR","MEN","PC_LF","A","2019",7.258333,
"LVA","HUR","MEN","PC_LF","A","2019",7.2,
"NZL","HUR","MEN","PC_LF","A","2019",3.825,
"LUX","HUR","MEN","PC_LF","A","2019",5.608333,
"JPN","HUR","MEN","PC_LF","A","2019",2.483333,
"TUR","HUR","MEN","PC_LF","A","2019",12.36082,"E"
"DEU","HUR","MEN","PC_LF","A","2019",3.508333,
"CHL","HUR","MEN","PC_LF","A","2019",6.674188,
"MEX","HUR","MEN","PC_LF","A","2019",3.455721,
"ISL","HUR","MEN","PC_LF","A","2019",4.316667,
"ESP","HUR","MEN","PC_LF","A","2019",12.45833,
"AUT","HUR","MEN","PC_LF","A","2019",4.625,
"EU27_2020","HUR","MEN","PC_LF","A","2019",6.458333,
"G-7","HUR","MEN","PC_LF","A","2019",4.359047,"E"
